REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,PWRCCGNPLXX01,GASINT,2,2042,2.0
GLOBAL,PWRCCGNPLXX01,GASINT,2,2043,2.0
GLOBAL,PWRCCGNPLXX01,GASINT,2,2044,2.0
GLOBAL,PWRCCGNPLXX01,GASINT,2,2045,2.0
GLOBAL,PWRCCGNPLXX01,GASINT,2,2046,2.0
GLOBAL,PWRCCGNPLXX01,GASINT,2,2047,2.0
GLOBAL,PWRCCGNPLXX01,GASINT,2,2048,2.0
GLOBAL,PWRCCGNPLXX01,GASINT,2,2049,2.0
GLOBAL,PWRCCGNPLXX01,GASINT,2,2050,2.0
GLOBAL,PWRCCGNPLXX01,GASINT,2,2051,2.0
GLOBAL,PWRCCGNPLXX01,GASINT,2,2052,2.0
GLOBAL,PWRCCGNPLXX01,GASINT,2,2053,2.0
GLOBAL,PWRCCGNPLXX01,GASINT,2,2054,2.0
GLOBAL,PWRCCGNPLXX01,GASINT,2,2055,2.0
GLOBAL,PWRCCGNPLXX01,GASINT,2,2056,2.0
GLOBAL,PWRCCGNPLXX01,GASINT,2,2057,2.0
GLOBAL,PWRCCGNPLXX01,GASINT,2,2058,2.0
GLOBAL,PWRCCGNPLXX01,GASINT,2,2059,2.0
GLOBAL,PWRCCGNPLXX01,GASINT,2,2060,2.0
GLOBAL,PWRCCGNPLXX01,GASINT,2,2061,2.0
GLOBAL,PWRCCGNPLXX01,GASINT,2,2062,2.0
GLOBAL,PWRCCGNPLXX01,GASINT,2,2063,2.0
GLOBAL,PWRCCGNPLXX01,GASINT,2,2064,2.0
GLOBAL,PWRCCGNPLXX01,GASINT,2,2065,2.0
GLOBAL,PWRCCGNPLXX01,GASINT,2,2066,2.0
GLOBAL,PWRCCGNPLXX01,GASINT,2,2067,2.0
GLOBAL,PWRCCGNPLXX01,GASINT,2,2068,2.0
GLOBAL,PWRCCGNPLXX01,GASINT,2,2069,2.0
GLOBAL,PWRCCGNPLXX01,GASINT,2,2070,2.0
GLOBAL,PWROCGNPLXX01,GASNPL,1,2020,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2021,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2022,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2023,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2024,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2025,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2026,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2027,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2028,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2029,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2030,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2031,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2032,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2033,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2034,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2035,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2036,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2037,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2038,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2039,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2040,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2041,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2042,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2043,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2044,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2045,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2046,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2047,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2048,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2049,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2050,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2051,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2052,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2053,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2054,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2055,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2056,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2057,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2058,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2059,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2060,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2061,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2062,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2063,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2064,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2065,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2066,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2067,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2068,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2069,2.857
GLOBAL,PWROCGNPLXX01,GASNPL,1,2070,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2020,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2021,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2022,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2023,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2024,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2025,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2026,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2027,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2028,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2029,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2030,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2031,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2032,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2033,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2034,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2035,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2036,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2037,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2038,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2039,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2040,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2041,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2042,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2043,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2044,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2045,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2046,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2047,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2048,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2049,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2050,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2051,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2052,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2053,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2054,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2055,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2056,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2057,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2058,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2059,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2060,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2061,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2062,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2063,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2064,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2065,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2066,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2067,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2068,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2069,2.857
GLOBAL,PWROCGNPLXX01,GASINT,2,2070,2.857
